,The Occupation title (click on the occupation title to view its profile)
817,"The Derrick, Rotary Drill, and Service Unit Operators, Oil and Ga"
818,"The Derrick Operators, Oil and Ga"
819,"The Rotary Drill Operators, Oil and Ga"
820,"The Service Unit Operators, Oil and Ga"
821,The Surface Mining Machine Operators and Earth Driller
822,"The Excavating and Loading Machine and Dragline Operators, Surface Mining"
823,"The Earth Drillers, Except Oil and Ga"
824,"The Explosives Workers, Ordnance Handling Experts, and Blaster"
825,The Underground Mining Machine Operator
826,The Continuous Mining Machine Operator
827,"The Roof Bolters, Mining"
828,"The Loading and Moving Machine Operators, Underground Mining"
829,The Underground Mining Machine Operator
830,"The Rock Splitters, Quarry"
831,"The Roustabouts, Oil and Ga"
832,The Helpers--Extraction Worker
833,The Extraction Worker
834,"The Installation, Maintenance, and Repair Occupation"
835,"The First-Line Supervisors of Mechanics, Installers, and Repairer"
836,"The Electrical and Electronic Equipment Mechanics, Installers, and Repairer"
837,"The Computer, Automated Teller, and Office Machine Repairer"
838,The Radio and Telecommunications Equipment Installers and Repairer
839,"The Radio, Cellular, and Tower Equipment Installers and Repairer"
840,"The Telecommunications Equipment Installers and Repairers, Except Line Installer"
841,"The Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairer"
842,The Avionics Technician
843,"The Electric Motor, Power Tool, and Related Repairer"
844,"The Electrical and Electronics Installers and Repairers, Transportation Equipment"
845,"The Electrical and Electronics Repairers, Commercial and Industrial Equipment"
846,"The Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
847,"The Electronic Equipment Installers and Repairers, Motor Vehicle"
848,The Audiovisual Equipment Installers and Repairer
849,The Security and Fire Alarm Systems Installer
850,"The Vehicle and Mobile Equipment Mechanics, Installers, and Repairer"
851,The Aircraft Mechanics and Service Technician
852,The Automotive Technicians and Repairer
853,The Automotive Body and Related Repairer
854,The Automotive Glass Installers and Repairer
855,The Automotive Service Technicians and Mechanic
856,The Bus and Truck Mechanics and Diesel Engine Specialist
857,The Heavy Vehicle and Mobile Equipment Service Technicians and Mechanic
858,The Farm Equipment Mechanics and Service Technician
859,"The Mobile Heavy Equipment Mechanics, Except Engine"
860,The Rail Car Repairer
861,The Small Engine Mechanic
862,The Motorboat Mechanics and Service Technician
863,The Motorcycle Mechanic
864,The Outdoor Power Equipment and Other Small Engine Mechanic
865,"The Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairer"
866,The Bicycle Repairer
867,The Recreational Vehicle Service Technician
868,The Tire Repairers and Changer
869,"The Other Installation, Maintenance, and Repair Occupation"
870,The Control and Valve Installers and Repairer
871,The Mechanical Door Repairer
872,"The Control and Valve Installers and Repairers, Except Mechanical Door"
873,"The Heating, Air Conditioning, and Refrigeration Mechanics and Installer"
874,The Home Appliance Repairer
875,"The Industrial Machinery Installation, Repair, and Maintenance Worker"
876,The Industrial Machinery Mechanic
877,"The Maintenance Workers, Machinery"
878,The Millwright
879,"The Refractory Materials Repairers, Except Brickmason"
880,The Line Installers and Repairer
881,The Electrical Power-Line Installers and Repairer
882,The Telecommunications Line Installers and Repairer
883,The Precision Instrument and Equipment Repairer
884,The Camera and Photographic Equipment Repairer
885,The Medical Equipment Repairer
886,The Musical Instrument Repairers and Tuner
887,The Watch and Clock Repairer
888,The Precision Instrument and Equipment Repairer
889,"The Maintenance and Repair Workers, General"
890,The Wind Turbine Service Technician
891,"The Miscellaneous Installation, Maintenance, and Repair Worker"
892,"The Coin, Vending, and Amusement Machine Servicers and Repairer"
893,The Commercial Diver
894,The Locksmiths and Safe Repairer
895,The Manufactured Building and Mobile Home Installer
896,The Rigger
897,The Signal and Track Switch Repairer
898,"The Helpers--Installation, Maintenance, and Repair Worker"
899,"The Installation, Maintenance, and Repair Worker"
900,The Production Occupation
901,The First-Line Supervisors of Production and Operating Worker
902,The Assemblers and Fabricator
903,"The Aircraft Structure, Surfaces, Rigging, and Systems Assembler"
904,"The Electrical, Electronics, and Electromechanical Assembler"
905,"The Coil Winders, Tapers, and Finisher"
906,"The Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finisher"
907,The Engine and Other Machine Assembler
908,The Structural Metal Fabricators and Fitter
909,The Fiberglass Laminators and Fabricator
910,The Timing Device Assemblers and Adjuster
911,The Miscellaneous Assemblers and Fabricator
912,The Food Processing Worker
913,The Baker
914,"The Butchers and Other Meat, Poultry, and Fish Processing Worker"
915,The Butchers and Meat Cutter
916,"The Meat, Poultry, and Fish Cutters and Trimmer"
917,The Slaughterers and Meat Packer
918,The Miscellaneous Food Processing Worker
919,"The Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tender"
920,The Food Batchmaker
921,The Food Cooking Machine Operators and Tender
922,The Food Processing Worker
923,The Metal Workers and Plastic Worker
924,"The Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
925,"The Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
926,"The Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
927,"The Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
928,"The Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
929,"The Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
930,"The Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
931,"The Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
932,"The Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
933,"The Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
934,The Machinist
935,"The Metal Furnace Operators, Tenders, Pourers, and Caster"
936,The Metal-Refining Furnace Operators and Tender
937,"The Pourers and Casters, Metal"
938,"The Model Makers and Patternmakers, Metal and Plastic"
939,"The Model Makers, Metal and Plastic"
940,"The Patternmakers, Metal and Plastic"
941,"The Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
942,The Foundry Mold and Coremaker
943,"The Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
944,"The Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
945,The Tool and Die Maker
946,"The Welding, Soldering, and Brazing Worker"
947,"The Welders, Cutters, Solderers, and Brazer"
948,"The Welding, Soldering, and Brazing Machine Setters, Operators, and Tender"
949,The Miscellaneous Metal Workers and Plastic Worker
950,"The Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
951,"The Layout Workers, Metal and Plastic"
952,"The Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
953,"The Tool Grinders, Filers, and Sharpener"
954,The Metal Workers and Plastic Worker
955,The Printing Worker
956,The Prepress Technicians and Worker
957,The Printing Press Operator
958,The Print Binding and Finishing Worker
959,"The Textile, Apparel, and Furnishings Worker"
960,The Laundry and Dry-Cleaning Worker
961,"The Pressers, Textile, Garment, and Related Material"
962,The Sewing Machine Operator
963,The Shoe and Leather Worker
964,The Shoe and Leather Workers and Repairer
965,The Shoe Machine Operators and Tender
966,"The Tailors, Dressmakers, and Sewer"
967,"The Sewers, Hand"
968,"The Tailors, Dressmakers, and Custom Sewer"
969,"The Textile Machine Setters, Operators, and Tender"
970,The Textile Bleaching and Dyeing Machine Operators and Tender
971,"The Textile Cutting Machine Setters, Operators, and Tender"
972,"The Textile Knitting and Weaving Machine Setters, Operators, and Tender"
973,"The Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tender"
974,"The Miscellaneous Textile, Apparel, and Furnishings Worker"
975,"The Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fiber"
976,The Fabric and Apparel Patternmaker
977,The Upholsterer
978,"The Textile, Apparel, and Furnishings Worker"
979,The Woodworker
980,The Cabinetmakers and Bench Carpenter
981,The Furniture Finisher
982,"The Model Makers and Patternmakers, Wood"
983,"The Model Makers, Wood"
984,"The Patternmakers, Wood"
985,"The Woodworking Machine Setters, Operators, and Tender"
986,"The Sawing Machine Setters, Operators, and Tenders, Wood"
987,"The Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
988,The Woodworker
989,The Plant and System Operator
990,"The Power Plant Operators, Distributors, and Dispatcher"
991,The Nuclear Power Reactor Operator
992,The Power Distributors and Dispatcher
993,The Power Plant Operator
994,The Stationary Engineers and Boiler Operator
995,The Water and Wastewater Treatment Plant and System Operator
996,The Miscellaneous Plant and System Operator
997,The Chemical Plant and System Operator
998,The Gas Plant Operator
999,"The Petroleum Pump System Operators, Refinery Operators, and Gauger"
1000,The Plant and System Operator
1001,The Other Production Occupation
1002,"The Chemical Processing Machine Setters, Operators, and Tender"
1003,The Chemical Equipment Operators and Tender
1004,"The Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tender"
1005,"The Crushing, Grinding, Polishing, Mixing, and Blending Worker"
1006,"The Crushing, Grinding, and Polishing Machine Setters, Operators, and Tender"
1007,"The Grinding and Polishing Workers, Hand"
1008,"The Mixing and Blending Machine Setters, Operators, and Tender"
1009,The Cutting Worker
1010,"The Cutters and Trimmers, Hand"
1011,"The Cutting and Slicing Machine Setters, Operators, and Tender"
1012,"The Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tender"
1013,"The Furnace, Kiln, Oven, Drier, and Kettle Operators and Tender"
1014,"The Inspectors, Testers, Sorters, Samplers, and Weigher"
1015,The Jewelers and Precious Stone and Metal Worker
1016,The Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technician
1017,The Dental Laboratory Technician
1018,The Medical Appliance Technician
1019,The Ophthalmic Laboratory Technician
1020,The Packaging and Filling Machine Operators and Tender
1021,The Painting Worker
1022,"The Painting, Coating, and Decorating Worker"
1023,"The Coating, Painting, and Spraying Machine Setters, Operators, and Tender"
1024,The Semiconductor Processing Technician
1025,The Photographic Process Workers and Processing Machine Operator
1026,The Computer Numerically Controlled Tool Operators and Programmer
1027,The Computer Numerically Controlled Tool Operator
1028,The Computer Numerically Controlled Tool Programmer
1029,The Miscellaneous Production Worker
1030,The Adhesive Bonding Machine Operators and Tender
1031,"The Cleaning, Washing, and Metal Pickling Equipment Operators and Tender"
1032,The Cooling and Freezing Equipment Operators and Tender
1033,The Etchers and Engraver
1034,"The Molders, Shapers, and Casters, Except Metal and Plastic"
1035,"The Paper Goods Machine Setters, Operators, and Tender"
1036,The Tire Builder
1037,The Helpers--Production Worker
1038,The Production Worker
1039,The Transportation and Material Moving Occupation
1040,The First-Line Supervisors of Transportation and Material Moving Worker
1041,The Aircraft Cargo Handling Supervisor
1042,"The First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisor"
1043,The Air Transportation Worker
1044,The Aircraft Pilots and Flight Engineer
1045,"The Airline Pilots, Copilots, and Flight Engineer"
1046,The Commercial Pilot
1047,The Air Traffic Controllers and Airfield Operations Specialist
1048,The Air Traffic Controller
1049,The Airfield Operations Specialist
1050,The Flight Attendant
1051,The Motor Vehicle Operator
1052,"The Ambulance Drivers and Attendants, Except Emergency Medical Technician"
1053,The Driver/Sales Workers and Truck Driver
1054,The Driver/Sales Worker
1055,The Heavy and Tractor-Trailer Truck Driver
1056,The Light Truck Driver
1057,The Passenger Vehicle Driver
1058,"The Bus Drivers, School"
1059,"The Bus Drivers, Transit and Intercity"
1060,The Shuttle Drivers and Chauffeur
1061,The Taxi Driver
1062,The Motor Vehicle Operator
1063,The Rail Transportation Worker
1064,The Locomotive Engineers and Operator
1065,The Locomotive Engineer
1066,"The Rail Yard Engineers, Dinkey Operators, and Hostler"
1067,"The Railroad Brake, Signal, and Switch Operators and Locomotive Firer"
1068,The Railroad Conductors and Yardmaster
1069,The Subway and Streetcar Operator
1070,The Rail Transportation Worker
1071,The Water Transportation Worker
1072,The Sailors and Marine Oiler
1073,The Ship and Boat Captains and Operator
1074,"The Captains, Mates, and Pilots of Water Vessel"
1075,The Motorboat Operator
1076,The Ship Engineer
1077,The Other Transportation Worker
1078,The Bridge and Lock Tender
1079,The Parking Attendant
1080,The Transportation Service Attendant
1081,The Automotive and Watercraft Service Attendant
1082,The Aircraft Service Attendant
1083,The Traffic Technician
1084,The Transportation Inspector
1085,The Passenger Attendant
1086,The Transportation Worker
1087,The Material Moving Worker
1088,The Conveyor Operators and Tender
1089,The Crane and Tower Operator
1090,The Dredge Operator
1091,The Hoist and Winch Operator
1092,The Industrial Truck and Tractor Operator
1093,The Laborers and Material Mover
1094,The Cleaners of Vehicles and Equipment
1095,"The Laborers and Freight, Stock, and Material Movers, Hand"
1096,The Machine Feeders and Offbearer
1097,"The Packers and Packagers, Hand"
1098,The Stockers and Order Filler
1099,The Pumping Station Operator
1100,The Gas Compressor and Gas Pumping Station Operator
1101,"The Pump Operators, Except Wellhead Pumper"
1102,The Wellhead Pumper
1103,The Refuse and Recyclable Material Collector
1104,"The Tank Car, Truck, and Ship Loader"
1105,The Material Moving Worker
