The Occupation title (click on the occupation title to view its profile),عنوان الاحتلال (انقر على عنوان الاحتلال لعرض ملفه الشخصي),ar_val,El título de la ocupación (haga clic en el título de la ocupación para ver su perfil),sp_val
The Ophthalmic Laboratory Technician,فني مختبر العيون,m,El Técnico de Laboratorio Oftalmológico,m
The Painting Worker,عامل الرسم,m,El trabajador de la pintura,m
The Semiconductor Processing Technician,فني معالجة أشباه الموصلات,m,El técnico de procesamiento de semiconductores,m
The Computer Numerically Controlled Tool Operator,مشغل الأداة التي يتم التحكم فيها رقميا بواسطة الكمبيوتر,m,El operador de la herramienta controlada numéricamente por computadora,m
The Computer Numerically Controlled Tool Programmer,مبرمج أداة التحكم العددي بالكمبيوتر,m,El programador de herramientas controladas numéricamente por computadora,m
The Miscellaneous Production Worker,عامل الإنتاج المتنوع,m,El trabajador de producción misceláneo,m
The Tire Builder,منشئ الإطارات,m,El constructor de neumáticos,m
The Helpers--Production Worker,المساعدون - عامل الإنتاج,m,Los ayudantes - Trabajador de producción,m
The Air Transportation Worker,عامل النقل الجوي,m,El trabajador del transporte aéreo,m
The Commercial Pilot,الطيار التجاري,m,El piloto comercial,m
The Air Traffic Controller,مراقب الحركة الجوية,m,El controlador de tránsito aéreo,m
The Airfield Operations Specialist,أخصائي عمليات المطار,m,El Especialista en Operaciones de Aeródromos,m
The Flight Attendant,مضيفة الطيران,f,La azafata,f
The Motor Vehicle Operator,مشغل السيارات,m,El operador de vehículos de motor,m
The Driver/Sales Worker,السائق / عامل المبيعات,m,El conductor/trabajador de ventas,m
The Light Truck Driver,سائق الشاحنة الخفيفة,m,El conductor de camión ligero,m
The Passenger Vehicle Driver,سائق سيارة الركاب,m,El conductor del vehículo de pasajeros,m
The Taxi Driver,سائق سيارة الأجرة,m,El taxista,m
The Rail Transportation Worker,عامل النقل بالسكك الحديدية,m,El trabajador del transporte ferroviario,m
The Locomotive Engineer,مهندس القاطرة,m,El ingeniero de locomotoras,m
The Water Transportation Worker,عامل النقل المائي,m,El trabajador del transporte acuático,m
The Motorboat Operator,مشغل القارب البخارى,m,El operador de la lancha motora,m
The Ship Engineer,مهندس السفن,m,El ingeniero naval,m
The Other Transportation Worker,عامل النقل الآخر,m,El otro trabajador del transporte,m
The Parking Attendant,مضيف وقوف السيارات,m,El encargado del estacionamiento,m
The Transportation Service Attendant,مضيف خدمة النقل,m,El Asistente de Servicio de Transporte,m
The Aircraft Service Attendant,مضيفة خدمة الطائرات,f,El asistente de servicio de la aeronave,m
The Traffic Technician,فني المرور,m,El Técnico de Tráfico,m
The Transportation Inspector,مفتش النقل,m,El Inspector de Transporte,m
The Passenger Attendant,مضيفة الركاب,f,El Asistente de Pasajeros,m
The Material Moving Worker,عامل نقل المواد,m,El trabajador de movimiento de materiales,m
The Dredge Operator,مشغل الجرافة,m,El operador de dragado,m
The Pumping Station Operator,مشغل محطة الضخ,m,El operador de la estación de bombeo,m
The Wellhead Pumper,مضخة رأس البئر,f,La bomba de boca de pozo,m
,,,,f
